municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
São Francisco do Pará (PA);7285;1368;294;32;5590;1;-
São Geraldo do Araguaia (PA);12494;2924;1121;155;8142;152;-
São João da Ponta (PA);2527;217;21;2;2287;-;-
São João de Pirabas (PA);9887;1940;459;51;7437;-;-
São João do Araguaia (PA);6006;1030;540;91;4337;8;-
São Miguel do Guamá (PA);25539;3049;1255;116;21109;10;-
São Sebastião da Boa Vista (PA);11071;2156;165;22;8728;-;-
Sapucaia (PA);2337;645;103;19;1566;4;-
Senador José Porfírio (PA);6050;872;413;21;4522;222;-
Soure (PA);11529;1824;1340;141;8200;24;-
Tailândia (PA);38306;9100;3104;775;25302;25;-
Terra Alta (PA);4990;1086;107;20;3776;1;-
Terra Santa (PA);8173;1668;234;56;6200;15;-
Tomé-Açu (PA);27195;5434;1775;376;19470;140;-
Tracuateua (PA);13127;1385;244;28;11470;-;-
Trairão (PA);7729;1842;674;197;4860;156;-
Tucumã (PA);16201;5386;1037;312;9438;27;1
Tucuruí (PA);48726;12604;3744;476;31623;279;-
Ulianópolis (PA);21132;4788;1970;247;14117;10;-
Uruará (PA);21156;5688;1412;228;13810;18;-
Vigia (PA);23341;5652;736;127;16817;9;-
Viseu (PA);26899;4526;1329;292;20733;19;-
Vitória do Xingu (PA);6150;1395;443;152;4096;64;-
Xinguara (PA);20001;5483;1319;466;12706;27;-
Serra do Navio (AP);2047;555;87;8;1397;-;-
Amapá (AP);3858;819;133;3;2901;2;-
Pedra Branca do Amapari (AP);4906;860;263;28;3305;450;-
Calçoene (AP);4179;798;568;33;2774;6;-
Cutias (AP);2272;440;87;10;1732;3;-
Ferreira Gomes (AP);2756;479;352;2;1920;3;-
Itaubal (AP);1945;325;120;9;1488;3;-
Laranjal do Jari (AP);19508;3911;1285;102;14175;35;-
Macapá (AP);202591;55660;17591;2397;126556;387;-
Mazagão (AP);8058;1571;820;287;5366;14;-
Oiapoque (AP);9805;1776;481;65;4786;2697;-
Porto Grande (AP);7937;1814;439;99;5570;15;-
Pracuúba (AP);1796;290;167;17;1318;4;-
Santana (AP);50848;12357;2641;359;35472;19;-
Tartarugalzinho (AP);5884;1162;380;71;4269;2;-
Vitória do Jari (AP);6001;1289;466;45;4201;-;-
Abreulândia (TO);1130;315;75;24;715;1;-
Aguiarnópolis (TO);2544;498;180;58;1807;1;-
Aliança do Tocantins (TO);2764;736;237;98;1691;2;-
Almas (TO);3621;446;493;93;2587;2;-
Alvorada (TO);4122;1158;203;111;2649;1;-
Ananás (TO);4884;1197;495;172;3015;5;-
Angico (TO);1502;333;137;28;1004;-;-
Aparecida do Rio Negro (TO);2043;415;157;4;1463;4;-
Aragominas (TO);2744;618;342;130;1651;3;-
Araguacema (TO);2986;548;265;15;2158;-;-
Araguaçu (TO);4275;1541;282;41;2408;3;-
Araguaína (TO);76897;22261;5246;1751;47487;152;-
Araguanã (TO);2446;530;260;117;1532;7;-
Araguatins (TO);15361;3241;1260;343;10500;17;-
Arapoema (TO);3295;791;162;29;2313;-;-
Arraias (TO);5252;551;1250;43;3403;5;-
Augustinópolis (TO);7945;1733;503;68;5638;3;-
Aurora do Tocantins (TO);1672;283;140;27;1220;2;-
Axixá do Tocantins (TO);4675;987;403;53;3220;12;-
Babaçulândia (TO);4884;1070;301;70;3437;6;-
Bandeirantes do Tocantins (TO);1430;445;97;63;825;-;-
Barra do Ouro (TO);1928;410;87;18;1413;-;-
Barrolândia (TO);2591;820;73;12;1685;1;-
Bernardo Sayão (TO);2131;563;63;94;1407;4;-
Bom Jesus do Tocantins (TO);1779;368;119;14;1276;2;-
Brasilândia do Tocantins (TO);1007;174;48;14;770;1;-
Brejinho de Nazaré (TO);2586;309;516;38;1718;5;-
Buriti do Tocantins (TO);4829;1013;565;120;3119;12;-
Cachoeirinha (TO);1011;199;49;29;734;-;-
Campos Lindos (TO);3875;591;282;22;2980;-;-
Cariri do Tocantins (TO);1650;477;56;9;1108;-;-
Carmolândia (TO);1110;233;142;27;708;-;-
Carrasco Bonito (TO);1769;355;208;8;1196;2;-
Caseara (TO);2217;335;109;13;1760;-;-
Centenário (TO);1191;223;39;5;924;-;-
Chapada de Areia (TO);619;195;84;19;321;-;-
Chapada da Natividade (TO);1485;200;218;2;1062;3;-
Colinas do Tocantins (TO);15550;4652;985;344;9536;33;-
Combinado (TO);2295;610;125;13;1547;-;-
Conceição do Tocantins (TO);2050;260;465;67;1257;1;-
Couto Magalhães (TO);2371;600;293;78;1385;15;-
Cristalândia (TO);3535;759;240;69;2454;13;-
Crixás do Tocantins (TO);743;146;62;10;523;2;-
Darcinópolis (TO);2498;518;182;94;1703;1;-
Dianópolis (TO);9433;1928;1091;107;6293;14;-
Divinópolis do Tocantins (TO);3083;878;81;26;2098;-;-
Dois Irmãos do Tocantins (TO);3203;746;151;54;2251;1;-
Dueré (TO);2152;512;86;29;1524;1;-
Esperantina (TO);4566;580;465;91;3429;1;-
Fátima (TO);1896;455;86;52;1302;1;-
Figueirópolis (TO);2635;784;215;24;1604;8;-
Filadélfia (TO);4035;961;273;19;2777;5;-
Formoso do Araguaia (TO);8820;1951;517;178;5624;550;-
Fortaleza do Tabocão (TO);1185;289;69;21;806;-;-
Goianorte (TO);2307;640;88;39;1536;4;-
Goiatins (TO);5777;1180;433;102;3257;805;-
Guaraí (TO);11513;3201;656;301;7330;25;-
Gurupi (TO);38648;12191;2668;396;23294;99;-
Ipueiras (TO);775;102;29;-;643;1;-
Itacajá (TO);3373;764;251;57;1831;470;-
Itaguatins (TO);2925;497;172;14;2240;2;-
Itapiratins (TO);1619;386;157;70;1005;1;-
Itaporã do Tocantins (TO);1160;307;55;31;766;1;-
Jaú do Tocantins (TO);1692;445;128;38;1081;-;-
Juarina (TO);1055;254;44;17;740;-;-
Lagoa da Confusão (TO);4685;920;243;19;2631;872;-
Lagoa do Tocantins (TO);1695;280;151;37;1227;-;-
Lajeado (TO);1309;432;600;15;259;3;-
Lavandeira (TO);767;139;67;2;559;-;-
Lizarda (TO);1718;195;83;29;1411;-;-
Luzinópolis (TO);1272;273;107;2;889;1;-
Marianópolis do Tocantins (TO);2034;523;196;56;1253;6;-
Mateiros (TO);1036;131;139;46;720;-;-
Maurilândia do Tocantins (TO);1457;261;78;32;1017;69;-
Miracema do Tocantins (TO);10337;2740;852;173;6517;55;-
Miranorte (TO);6200;2202;458;135;3393;12;-
